clip_id,frame_id,timestamp,frame_path
ep01_clip_0000,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\00_t000.000_f0.jpg
ep01_clip_0000,frame_00002,1.92,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\01_t001.920_f48.jpg
ep01_clip_0000,frame_00003,3.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\02_t003.880_f97.jpg
ep01_clip_0000,frame_00004,5.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\03_t005.800_f145.jpg
ep01_clip_0000,frame_00005,7.76,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\04_t007.760_f194.jpg
ep01_clip_0000,frame_00006,9.68,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\05_t009.680_f242.jpg
ep01_clip_0000,frame_00007,11.64,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\06_t011.640_f291.jpg
ep01_clip_0000,frame_00008,13.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\07_t013.560_f339.jpg
ep01_clip_0000,frame_00009,15.52,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\08_t015.520_f388.jpg
ep01_clip_0000,frame_00010,17.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\09_t017.440_f436.jpg
ep01_clip_0000,frame_00011,19.4,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\10_t019.400_f485.jpg
ep01_clip_0000,frame_00012,21.32,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0000\11_t021.320_f533.jpg
ep01_clip_0001,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\00_t000.000_f0.jpg
ep01_clip_0001,frame_00002,1.96,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\01_t001.960_f49.jpg
ep01_clip_0001,frame_00003,3.92,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\02_t003.920_f98.jpg
ep01_clip_0001,frame_00004,5.88,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\03_t005.880_f147.jpg
ep01_clip_0001,frame_00005,7.84,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\04_t007.840_f196.jpg
ep01_clip_0001,frame_00006,9.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\05_t009.800_f245.jpg
ep01_clip_0001,frame_00007,11.76,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\06_t011.760_f294.jpg
ep01_clip_0001,frame_00008,13.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\07_t013.720_f343.jpg
ep01_clip_0001,frame_00009,15.68,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\08_t015.680_f392.jpg
ep01_clip_0001,frame_00010,17.64,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\09_t017.640_f441.jpg
ep01_clip_0001,frame_00011,19.6,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\10_t019.600_f490.jpg
ep01_clip_0001,frame_00012,21.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0001\11_t021.560_f539.jpg
ep01_clip_0002,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\00_t000.000_f0.jpg
ep01_clip_0002,frame_00002,1.6,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\01_t001.600_f40.jpg
ep01_clip_0002,frame_00003,3.24,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\02_t003.240_f81.jpg
ep01_clip_0002,frame_00004,4.84,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\03_t004.840_f121.jpg
ep01_clip_0002,frame_00005,6.48,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\04_t006.480_f162.jpg
ep01_clip_0002,frame_00006,8.08,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\05_t008.080_f202.jpg
ep01_clip_0002,frame_00007,9.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\06_t009.720_f243.jpg
ep01_clip_0002,frame_00008,11.32,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\07_t011.320_f283.jpg
ep01_clip_0002,frame_00009,12.96,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\08_t012.960_f324.jpg
ep01_clip_0002,frame_00010,14.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\09_t014.560_f364.jpg
ep01_clip_0002,frame_00011,16.2,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\10_t016.200_f405.jpg
ep01_clip_0002,frame_00012,17.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0002\11_t017.800_f445.jpg
ep01_clip_0003,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\00_t000.000_f0.jpg
ep01_clip_0003,frame_00002,1.76,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\01_t001.760_f44.jpg
ep01_clip_0003,frame_00003,3.52,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\02_t003.520_f88.jpg
ep01_clip_0003,frame_00004,5.32,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\03_t005.320_f133.jpg
ep01_clip_0003,frame_00005,7.08,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\04_t007.080_f177.jpg
ep01_clip_0003,frame_00006,8.84,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\05_t008.840_f221.jpg
ep01_clip_0003,frame_00007,10.6,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\06_t010.600_f265.jpg
ep01_clip_0003,frame_00008,12.36,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\07_t012.360_f309.jpg
ep01_clip_0003,frame_00009,14.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\08_t014.120_f353.jpg
ep01_clip_0003,frame_00010,15.92,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\09_t015.920_f398.jpg
ep01_clip_0003,frame_00011,17.68,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\10_t017.680_f442.jpg
ep01_clip_0003,frame_00012,19.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0003\11_t019.440_f486.jpg
ep01_clip_0004,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\00_t000.000_f0.jpg
ep01_clip_0004,frame_00002,1.84,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\01_t001.840_f46.jpg
ep01_clip_0004,frame_00003,3.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\02_t003.720_f93.jpg
ep01_clip_0004,frame_00004,5.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\03_t005.560_f139.jpg
ep01_clip_0004,frame_00005,7.4,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\04_t007.400_f185.jpg
ep01_clip_0004,frame_00006,9.24,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\05_t009.240_f231.jpg
ep01_clip_0004,frame_00007,11.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\06_t011.120_f278.jpg
ep01_clip_0004,frame_00008,12.96,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\07_t012.960_f324.jpg
ep01_clip_0004,frame_00009,14.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\08_t014.800_f370.jpg
ep01_clip_0004,frame_00010,16.64,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\09_t016.640_f416.jpg
ep01_clip_0004,frame_00011,18.52,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\10_t018.520_f463.jpg
ep01_clip_0004,frame_00012,20.36,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0004\11_t020.360_f509.jpg
ep01_clip_0005,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\00_t000.000_f0.jpg
ep01_clip_0005,frame_00002,1.92,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\01_t001.920_f48.jpg
ep01_clip_0005,frame_00003,3.8,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\02_t003.800_f95.jpg
ep01_clip_0005,frame_00004,5.72,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\03_t005.720_f143.jpg
ep01_clip_0005,frame_00005,7.64,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\04_t007.640_f191.jpg
ep01_clip_0005,frame_00006,9.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\05_t009.560_f239.jpg
ep01_clip_0005,frame_00007,11.44,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\06_t011.440_f286.jpg
ep01_clip_0005,frame_00008,13.36,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\07_t013.360_f334.jpg
ep01_clip_0005,frame_00009,15.28,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\08_t015.280_f382.jpg
ep01_clip_0005,frame_00010,17.2,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\09_t017.200_f430.jpg
ep01_clip_0005,frame_00011,19.08,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\10_t019.080_f477.jpg
ep01_clip_0005,frame_00012,21.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0005\11_t021.000_f525.jpg
ep01_clip_0006,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\00_t000.000_f0.jpg
ep01_clip_0006,frame_00002,2.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\01_t002.000_f50.jpg
ep01_clip_0006,frame_00003,4.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\02_t004.000_f100.jpg
ep01_clip_0006,frame_00004,6.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\03_t006.040_f151.jpg
ep01_clip_0006,frame_00005,8.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\04_t008.040_f201.jpg
ep01_clip_0006,frame_00006,10.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\05_t010.040_f251.jpg
ep01_clip_0006,frame_00007,12.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\06_t012.040_f301.jpg
ep01_clip_0006,frame_00008,14.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\07_t014.040_f351.jpg
ep01_clip_0006,frame_00009,16.04,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\08_t016.040_f401.jpg
ep01_clip_0006,frame_00010,18.08,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\09_t018.080_f452.jpg
ep01_clip_0006,frame_00011,20.08,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\10_t020.080_f502.jpg
ep01_clip_0006,frame_00012,22.08,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0006\11_t022.080_f552.jpg
ep01_clip_0007,frame_00001,0.0,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\00_t000.000_f0.jpg
ep01_clip_0007,frame_00002,1.56,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\01_t001.560_f39.jpg
ep01_clip_0007,frame_00003,3.12,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\02_t003.120_f78.jpg
ep01_clip_0007,frame_00004,4.64,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\03_t004.640_f116.jpg
ep01_clip_0007,frame_00005,6.2,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\04_t006.200_f155.jpg
ep01_clip_0007,frame_00006,7.76,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\05_t007.760_f194.jpg
ep01_clip_0007,frame_00007,9.32,D:\projects\VideoThinker-R1-3B\evaluation\runs\fixed_keyframes\ep01_clip_0007\06_t009.320_f233.jpg
